year,country,code,gdp,pop,unemp,hc
2001,Liechtenstein,LIE,NA,33543,NA,NA
2001,Lithuania,LTU,25844432147,3470818,16.84,NA
2001,Low & middle income,LMY,1.17951E+13,5087215714,5.687990797,NA
2001,Low income,LIC,2.2336E+11,398196096,5.042308455,NA
2001,Lower middle income,LMC,3.11144E+12,2487900839,5.688523157,NA
2001,Luxembourg,LUX,41810360200,441525,1.81,NA
2001,"Macao SAR, China",MAC,9979791248,437928,6.4,NA
2001,Madagascar,MDG,8195865456,16260933,5.35,NA
2001,Malawi,MWI,4158449146,11432001,6.01,NA
2001,Malaysia,MYS,1.63364E+11,23709115,3.53,NA
2001,Maldives,MDV,1555958505,286309,2.66,NA
2001,Mali,MLI,7009988743,11271603,6.1,NA
2001,Malta,MLT,7026826916,393028,7.11,NA
2001,Marshall Islands,MHL,143189326.9,51411,NA,NA
2001,Mauritania,MRT,3845100478,2702405,9.96,NA
2001,Mauritius,MUS,6946488513,1196287,9.14,NA
2001,Mexico,MEX,9.11515E+11,100298152,2.63,NA
2001,"Micronesia, Fed. Sts.",FSM,297100909.1,107170,NA,NA
2001,Middle East & North Africa,MEA,1.86602E+12,321297196,11.99043611,NA
2001,Middle East & North Africa (excluding high income),MNA,9.38446E+11,284249005,13.12230758,NA
2001,Middle East & North Africa (IDA & IBRD countries),TMN,9.32837E+11,281251221,13.06282286,NA
2001,Middle income,MIC,1.15745E+13,4689019618,5.735319732,NA
2001,Moldova,MDA,4487644450,2917252,7.29,NA
2001,Monaco,MCO,4560606125,32474,NA,NA
2001,Mongolia,MNG,3950344027,2419594,6.16,NA
2001,Montenegro,MNE,3030378744,607389,30.53,NA
2001,Morocco,MAR,61730070508,29126323,12.46,NA
2001,Mozambique,MOZ,5752275478,18221884,2.88,NA
2001,Myanmar,MMR,18508480721,47225119,0.82,NA
2001,Namibia,NAM,7381024791,1823667,20.72,NA
2001,Nauru,NRU,NA,10219,NA,NA
2001,Nepal,NPL,11423020739,24347113,1.75,NA
2001,Netherlands,NLD,7.56713E+11,16046180,2.12,NA
2001,New Caledonia,NCL,NA,217324,17.24,NA
