year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar,dist,distw,distwces,trade,atopally
2011,URY,7,10,42364020185,3368926,6.31,0,0,19175.5859375,19064.299854185487,19054.418907137475,897982784,0
2012,URY,6.5,10,43862934926,3378975,6.45,0,0,19175.5859375,19064.299854185487,19054.418907137475,1052415296,0
2013,URY,7,10,45897095483,3389436,6.44,1.00000002,0,19175.5859375,19064.299854185487,19054.418907137475,1257061888,0
2014,URY,6.5,10,47383606580,3400439,6.55,0,0,19175.5859375,19064.299854185487,19054.418907137475,1290028416,0
2000,ATG,5,6,997674789.1,76007,18.33,0,0,13681.6875,14124.908387052918,14096.900681917934,11068257,0
2001,ATG,5,6,952300505.1,77212,13.99,0,0,13681.6875,14124.908387052918,14096.900681917934,830807.375,0
2002,ATG,5,7,962084840.1,78298,14.18,0,0,13681.6875,14124.908387052918,14096.900681917934,1968307.75,0
2003,ATG,5,7,1020546346,79311,14,0,0,13681.6875,14124.908387052918,14096.900681917934,1908462.75,0
2004,ATG,6,7,1079401546,80347,15.89,0,0,13681.6875,14124.908387052918,14096.900681917934,64736532,0
2005,ATG,6,8,1149280181,81462,17.11,0,0,13681.6875,14124.908387052918,14096.900681917934,80794160,0
2006,ATG,6,7,1295332413,82715,16.22,0,0,13681.6875,14124.908387052918,14096.900681917934,87534016,0
2007,ATG,6,7,1415997591,84029,18.61,0,0,13681.6875,14124.908387052918,14096.900681917934,197528896,0
2008,ATG,6,8,1415794528,85394,14.4,0,0,13681.6875,14124.908387052918,14096.900681917934,287753664,0
2009,ATG,6,8,1246427315,86743,14.8,0,0,13681.6875,14124.908387052918,14096.900681917934,316908352,0
2010,ATG,6,7,1148700000,88030,15.2,0,0,13681.6875,14124.908387052918,14096.900681917934,521719488,0
2011,ATG,6,8,1126201417,89250,13.39,0,0,13681.6875,14124.908387052918,14096.900681917934,410496256,0
2012,ATG,6,8,1164186684,90407,14.1,0,0,13681.6875,14124.908387052918,14096.900681917934,480024960,0
2013,ATG,6,8,1157191361,91510,14.93,0,0,13681.6875,14124.908387052918,14096.900681917934,157109696,0
2014,ATG,6,7,1201115193,92562,15.89,0,0,13681.6875,14124.908387052918,14096.900681917934,105784512,0
2000,CRI,6.5,10,24451594617,3962369,5.08,1.999999843,0,14090.978515625,14458.744185914611,14423.89731136936,94045800,0
2001,CRI,6.5,10,25305241322,4034074,5.92,1,0,14090.978515625,14458.744185914611,14423.89731136936,62832936,0
2002,CRI,6.5,10,26169890138,4100922,6.33,10.99999994,0,14090.978515625,14458.744185914611,14423.89731136936,73291776,0
2003,CRI,6.5,10,27299691366,4164053,6.56,3.000000002,0,14090.978515625,14458.744185914611,14423.89731136936,98137008,0
2004,CRI,7,10,28507593400,4225156,6.39,10.0000001,0,14090.978515625,14458.744185914611,14423.89731136936,148857008,0
2005,CRI,7,10,29641245279,4285504,6.57,6.000000005,0,14090.978515625,14458.744185914611,14423.89731136936,225085568,0
2006,CRI,7,10,31812969043,4345421,5.74,0,0,14090.978515625,14458.744185914611,14423.89731136936,301294528,0
2007,CRI,7,10,34426446438,4404626,4.49,19.00000013,0,14090.978515625,14458.744185914611,14423.89731136936,381451488,0
2008,CRI,7,10,36057631674,4463123,4.78,7.999999938,0,14090.978515625,14458.744185914611,14423.89731136936,482793760,0
2009,CRI,6.5,9,35742684148,4520739,7.71,22.00000066,0,14090.978515625,14458.744185914611,14423.89731136936,456790848,0
2010,CRI,6,9,37658614803,4577371,7.17,51.00000158,0,14090.978515625,14458.744185914611,14423.89731136936,640134464,0
2011,CRI,7,10,39316783581,4633086,10.14,3.999999999,0,14090.978515625,14458.744185914611,14423.89731136936,810060160,0
2012,CRI,7,10,41236461855,4688003,9.78,7.00000012,0,14090.978515625,14458.744185914611,14423.89731136936,911334464,0
2013,CRI,6.5,10,42265215130,4742111,8.77,0,0,14090.978515625,14458.744185914611,14423.89731136936,1118357632,0
2014,CRI,6.5,10,43762295490,4795390,9.06,0.999999993,0,14090.978515625,14458.744185914611,14423.89731136936,1042658048,0
2000,TCD,2.5,-2,3862436487,8355654,1.05,0,1,10103.6484375,10235.72812249527,10211.121127658362,4204482,0
2001,TCD,2.5,-2,4312724534,8678049,1.09,99.99999867,1,10103.6484375,10235.72812249527,10211.121127658362,217010.2188,0
2002,TCD,2.5,-2,4678927023,9019226,1.16,0,1,10103.6484375,10235.72812249527,10211.121127658362,1256514.25,0
2003,TCD,2.5,-2,5367743079,9373913,1.22,0,1,10103.6484375,10235.72812249527,10211.121127658362,1131848.25,0
2004,TCD,2.5,-2,7172881359,9734761,1.26,0,0,10103.6484375,10235.72812249527,10211.121127658362,3568215.75,0
2005,TCD,2.5,-2,8416123440,10096630,1.29,0,1,10103.6484375,10235.72812249527,10211.121127658362,9032617,0
