recipient_iso3,year,frequencies_by_year,counts_by_year,relevant
NIU,2001,0.02,1,1
NIU,2002,0,0,1
NIU,2003,0,0,1
NIU,2004,0.1,5,1
NIU,2005,0.06,3,1
NIU,2006,0.08,4,1
NIU,2007,0.08,4,1
NIU,2008,0.04,2,1
NIU,2009,0.07,7,1
NIU,2010,0.02,2,1
NIU,2011,0.1,11,1
NIU,2012,0.13,12,1
NIU,2013,0.03,2,1
NIU,2014,0.06,4,1
NIU,2015,0.04,2,1
NIU,2016,0.04,2,1
NIU,2017,0,0,1
MKD,2000,0,0,1
MKD,2001,0,0,1
MKD,2002,0,0,1
MKD,2003,0,0,1
MKD,2004,0,0,1
MKD,2005,0,0,1
MKD,2006,0,0,1
MKD,2007,0,0,1
MKD,2008,0,0,1
