"","country_mentioned","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"233","Territory of Norfolk Island, Norfolk Island",10,20,13,29,10,9,7,12,11,45,41,26,31,12,13
"234","Territory of the French Southern and Antarctic Lands, French Southern Territories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
"235","Togolese Republic, Togo",212,155,131,82,157,288,341,332,216,301,460,205,245,185,119
"236","Tokelau",1,2,3,NA,2,10,11,23,2,21,14,22,12,7,7
"237","Turkmenistan",159,135,167,97,114,108,164,172,226,308,338,275,151,195,209
"238","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"239","Tuvalu",16,5,10,6,45,32,33,31,27,99,71,70,74,39,30
"240","Ukraine",885,1041,604,741,1263,1275,1605,1413,2028,2513,2761,2792,2355,1889,7422
"241","Union of Burma, Myanmar",1067,1076,1479,1377,1398,1438,1411,1821,1319,3686,3711,3591,3744,2459,1694
"242","Union of Soviet Socialist Republics",282,304,226,182,253,283,201,219,362,472,657,365,364,228,334
"243","Union of the Comoros, Comoros",57,41,40,47,57,36,73,62,32,115,93,100,54,32,66
"244","United Arab Emirates",815,646,473,610,1147,575,573,1074,707,1361,1663,1534,1369,1283,862
"245","United Kingdom of Great Britain and Northern Ireland, United Kingdom",4351,4770,4062,6374,5258,4603,4638,4022,5330,8029,7642,7503,7552,5895,5539
"246","United Republic of Tanzania, Tanzania",1241,1347,965,1222,1093,1303,1261,1251,468,1167,1029,793,687,944,455
"247","United States",33026,37970,26753,19220,15151,13613,42595,44800,44898,81221,89708,82899,69191,57116,47391
"248","Virgin Islands of the United States, U.S. Virgin Islands",9,NA,NA,NA,1,NA,1,1,1,8,6,1,7,4,NA
"249","Wallis et Futuna, Wallis and Futuna",NA,1,1,NA,2,NA,8,8,NA,5,10,2,2,4,6
"250","Western Sahara",22,25,16,29,18,18,13,17,20,53,62,29,33,30,17
"251","Yemen, Democratic, Yemen",1,NA,NA,NA,NA,NA,NA,2,NA,NA,29,14,55,32,18
